"SRR062670"	"SRR062671"	"SRR062672"	"SRR062673"	"SRR062674"	"SRR062675"	"SRR062676"	"SRR062677"	"SRR062678"	"SRR062679"	"SRR062680"	"SRR062681"	"SRR062682"	"SRR062683"	"SRR062684"	"SRR062685"	"SRR062686"	"SRR062687"	"SRR062688"	"SRR062689"	"SRR062690"	"SRR062691"	"SRR062692"	"SRR062693"	"SRR062694"	"SRR062695"	"SRR062696"	"SRR062697"	"SRR062698"	"SRR062699"	"SRR062700"	"SRR062701"	"SRR062702"	"SRR062703"	"SRR062704"	"SRR062705"	"SRR062706"	"SRR062707"	"SRR062708"	"SRR062709"	"SRR062710"	"SRR062711"	"SRR062712"	"SRR062713"	"SRR062714"	"SRR062715"	"SRR062716"	"SRR062717"	"SRR062718"	"SRR062719"	"SRR062720"	"SRR062721"	"SRR062722"	"SRR062723"	"SRR062724"	"SRR062725"	"SRR062726"	"SRR062727"	"SRR062728"	"SRR062729"	"SRR062730"	"SRR062731"	"SRR062732"	"SRR062733"	"SRR062734"	"SRR062735"	"SRR062736"	"SRR062737"	"SRR062738"	"SRR062739"	"SRR062740"	"SRR062741"	"SRR062742"	"SRR062743"	"SRR062744"	"SRR062745"	"SRR062746"	"SRR062747"	"SRR062748"	"SRR062749"	"SRR062750"	"SRR062751"	"SRR062752"	"SRR062753"	"SRR062755"	"SRR062756"	"SRR062757"	"SRR062758"	"SRR062759"	"SRR062760"	"SRR062761"	"SRR062762"	"SRR062763"	"SRR062764"	"SRR062765"	"SRR062766"	"SRR062767"	"SRR062768"	"SRR062769"	"SRR062770"	"SRR062771"	"SRR062772"	"SRR062773"	"SRR062774"	"SRR062775"	"SRR062776"	"SRR062777"	"SRR062778"	"SRR062779"	"SRR062780"	"SRR062781"	"SRR062782"	"SRR062783"	"SRR062784"	"SRR062785"	"SRR062786"	"SRR062787"	"SRR062788"	"SRR062789"	"SRR062790"	"SRR062791"	"SRR062792"	"SRR062793"	"SRR062794"	"SRR062795"	"SRR062796"	"SRR062797"	"SRR062798"	"SRR062799"	"SRR062800"	"SRR062801"	"SRR062802"	"SRR062803"	"SRR062804"	"SRR062805"	"SRR062806"	"SRR062807"	"SRR062808"	"SRR062809"	"SRR062810"	"SRR062811"	"SRR062812"	"SRR062813"	"SRR062814"	"SRR062815"	"SRR062816"	"SRR062817"	"SRR062818"	"SRR062819"	"SRR062820"	"SRR062821"	"SRR062822"	"SRR062823"	"SRR062824"	"SRR062825"	"SRR062826"	"SRR062827"	"SRR062828"	"SRR062829"	"SRR062830"	"SRR062831"	"SRR062832"	"SRR062833"	"SRR062834"	"SRR062835"	"SRR062836"	"SRR062837"	"SRR062838"	"SRR062839"	"SRR062840"	"SRR062842"	"SRR062843"	"SRR062844"	"SRR062845"	"SRR062846"	"SRR062847"	"SRR062848"	"SRR062849"	"SRR062850"	"SRR062851"	"SRR062852"	"SRR062853"	"SRR062854"	"SRR062855"	"SRR062856"	"SRR062857"	"SRR062858"	"SRR062859"	"SRR062860"	"SRR062861"	"SRR062862"	"SRR062863"	"SRR062864"	"SRR062865"	"SRR062866"	"SRR062867"	"SRR062868"	"SRR062869"	"SRR062870"	"SRR062871"	"SRR062872"	"SRR062873"	"SRR062874"	"SRR062875"	"SRR062876"	"SRR062877"	"SRR062878"	"SRR062879"	"SRR062880"	"SRR062881"	"SRR062882"	"SRR062883"	"SRR062884"	"SRR062885"	"SRR062886"	"SRR062887"	"SRR062888"	"SRR062889"	"SRR062890"	"SRR062891"	"SRR062892"	"SRR062893"	"SRR062894"	"SRR062895"	"SRR062896"	"SRR062897"	"SRR062898"	"SRR062899"	"SRR062900"	"SRR062901"	"SRR062902"	"SRR062903"	"SRR062904"	"SRR062905"	"SRR062906"	"SRR062907"	"SRR062908"	"SRR062909"	"SRR062910"	"SRR062911"	"SRR062912"	"SRR062913"	"SRR062914"	"SRR062915"	"SRR062916"	"SRR062917"	"SRR062918"	"SRR062919"	"SRR062920"	"SRR062921"	"SRR062922"	"SRR062923"	"SRR062924"	"SRR062925"	"SRR062926"	"SRR062927"	"SRR062928"	"SRR062929"	"SRR062930"	"SRR062931"	"SRR062932"	"SRR062934"	"SRR062935"	"SRR062936"	"SRR062937"	"SRR062938"	"SRR062939"	"SRR062940"	"SRR062941"	"SRR062942"	"SRR062943"	"SRR062944"	"SRR062945"	"SRR062946"	"SRR062947"	"SRR062948"	"SRR062949"	"SRR062950"	"SRR062951"	"SRR062952"	"SRR062953"	"SRR062954"	"SRR062955"	"SRR062956"	"SRR062957"	"SRR062958"	"SRR062959"	"SRR062960"	"SRR062961"	"SRR062962"	"SRR062963"	"SRR062964"	"SRR062965"	"SRR062966"	"SRR062967"	"SRR062968"	"SRR062969"	"SRR062970"	"SRR062971"	"SRR062972"	"SRR062973"	"SRR062974"	"SRR062975"	"SRR062976"	"SRR062977"	"SRR062978"	"SRR062979"	"SRR062980"	"SRR062981"	"SRR062982"	"SRR062983"	"SRR062984"	"SRR062985"	"SRR062986"	"SRR062987"	"SRR062988"	"SRR062989"	"SRR062990"	"SRR062992"	"SRR062993"	"SRR062994"	"SRR062995"	"SRR062996"	"SRR062997"	"SRR062998"	"SRR062999"	"SRR063000"	"SRR063001"	"SRR063002"	"SRR063003"	"SRR063004"	"SRR063005"	"SRR063006"	"SRR063007"	"SRR063008"	"SRR063009"	"SRR063010"	"SRR063011"	"SRR063012"	"SRR063013"	"SRR063014"	"SRR063015"	"SRR063016"	"SRR063017"	"SRR063018"	"SRR063019"	"SRR063020"	"SRR063021"	"SRR063022"	"SRR063023"	"SRR063024"	"SRR063025"	"SRR063026"	"SRR063027"	"SRR063028"	"SRR063029"	"SRR063030"	"SRR063031"	"SRR063032"	"SRR063033"	"SRR063034"	"SRR063035"	"SRR063036"	"SRR063037"	"SRR063038"	"SRR063039"	"SRR063040"	"SRR063041"	"SRR063042"	"SRR063043"	"SRR063044"	"SRR063045"	"SRR063046"	"SRR063047"	"SRR063048"	"SRR063049"	"SRR063050"	"SRR063051"	"SRR063052"	"SRR063053"	"SRR063054"	"SRR063055"	"SRR063056"	"SRR063057"	"SRR063058"	"SRR063059"	"SRR063060"	"SRR063061"	"SRR063062"	"SRR063063"	"SRR063064"	"SRR063065"	"SRR063066"	"SRR063067"
"Lactobacillus iners"	197	2	1021	0	84	210	312	118	2136	919	1976	324	5169	0	296	1574	1903	2	1149	1271	1	1	0	1028	677	0	0	0	1	0	105	1	2418	0	1	1	1	668	27	1629	992	1	816	1105	607	1912	866	302	436	1395	0	0	32	2102	0	2	0	744	2234	1464	6	131	1	20	1	1392	0	2124	150	4	1281	746	97	1	1865	0	1645	147	38	219	414	10	0	25	21	376	3	2477	29	1	2521	0	10	630	9	3	1096	0	0	490	2483	143	58	375	934	1021	1	0	2	1888	8	1	1201	326	1563	0	42	0	1343	84	0	0	1397	3	0	10	4	251	2	316	1876	2539	2888	7	1409	3644	0	26	1074	14	112	3267	25	26	10	6	1	1461	1337	2746	4	511	2527	1938	2691	3392	1521	2281	0	98	2458	2835	5	1962	2465	2936	3782	1543	1	2773	2081	7	8	0	190	14	7	37	4	2576	40	3	1616	12	326	275	3478	9	2533	1	686	18	364	7	5	30	1101	13	517	3357	483	220	2621	1878	2599	3	670	1456	88	1007	11	0	3053	1314	1047	87	1784	3952	2042	2310	2001	14	1827	61	105	35	2051	1330	0	10	11	420	20	2036	2328	129	2188	1447	8	59	2028	1471	21	165	1035	1	0	1064	2106	565	0	1432	83	1466	1	0	1580	0	322	1672	26	0	1141	0	1076	2041	1530	1	61	38	44	0	0	2031	2140	0	1	1547	12	0	122	2148	1773	2	0	0	0	1	2283	165	83	423	2011	0	1969	0	370	2083	0	2204	0	1267	2387	28	0	2205	1831	108	0	5	29	0	209	77	975	638	1860	2198	2928	2596	619	0	1942	1370	0	652	48	1878	0	0	8	5	69	2029	791	0	0	1863	1915	0	0	2454	1540	1	0	4	0	226	1683	0	906	5	1790	2	1642	5	1689	1026	1266	32	54	1447	2317	3180	2442	2513	0	1	0	0	1897	1543	2191	2247	1	822	2	2	1	1	1	2	1	0	2337	2	13	1	1647	1347	1321	0	1673	1611
"Lactobacillus crispatus"	2121	0	1	2256	2	1512	5	2	0	841	51	1	50	0	1628	2	0	3684	0	3	1	1	0	0	1	2638	2284	20	2078	0	0	2112	0	2334	0	2187	1224	1	1	0	321	0	0	0	3	302	4	0	0	0	0	0	0	0	1665	1800	20	643	1	1	1	1	0	1	2241	397	1578	0	804	16	0	0	0	1212	0	0	2	1427	2133	1845	0	1486	0	1598	3	1	1764	13	2665	4	7	1091	950	1578	2675	0	1801	0	1808	3217	0	263	1843	2	0	1386	2567	2393	4	0	2979	611	12	0	948	3217	3388	17	0	2250	0	2019	3	3173	3021	3379	5	1977	0	0	669	1	4	1	0	0	0	1	1067	0	7	93	2	2	188	1	5	392	0	0	0	41	0	115	0	1	0	3	0	26	4	21	9	0	148	7	0	1001	3	0	0	6	1	17	1	0	0	0	0	8	2185	2242	0	0	5	2	6	1	1	2085	1034	7	1577	1075	1	1961	690	2071	0	1	2542	0	82	405	1	0	1414	0	2	1055	0	3343	11	19	1	2712	0	1	147	4	1	2446	28	247	601	1416	37	59	1	1	739	987	1890	0	0	2058	0	289	2	1881	0	0	0	0	675	3	2585	2	0	0	0	3	11	2	0	1725	0	1	0	6	0	2571	0	2049	0	1	2	1805	0	0	0	2226	1	1	0	1	2045	0	0	904	1598	146	273	275	0	0	1850	156	0	0	2066	0	1	2011	0	0	1571	0	0	0	3	235	0	2277	0	0	0	0	0	0	1	1990	0	0	0	0	0	53	1	0	0	0	129	595	1504	1562	2	0	2	0	1	0	2158	0	1203	1617	87	238	0	2273	0	57	0	74	0	1812	1	8	1	2	3	1054	0	0	194	1578	5	798	0	2	1881	2	0	2	0	0	2444	1	15	2	0	422	1	0	0	1942	2460	1	2	0	0	963	0	0	1	2349	904	402	0	0	0	586	2	0
"Lactobacillus gasseri"	2	1242	1	0	2	0	1142	0	0	2	0	1	6	4871	15	2	0	4	20	0	1371	1	0	745	0	0	0	306	271	0	0	19	0	0	111	0	2	0	0	5	0	0	0	0	2	0	1	0	0	0	0	2159	0	0	9	0	0	2	0	9	639	0	835	0	0	1	0	0	121	0	0	1	0	16	0	713	1	3	5	14	0	0	354	0	0	6	5	8	2	0	2	0	0	9	1	1767	12	9	0	0	0	0	0	9	4	24	0	0	0	8	64	0	0	0	11	2	0	1912	1	0	0	0	0	1	0	0	3	1	0	0	0	199	4	0	0	0	1	10	0	0	0	3	0	0	61	2182	1	0	2	23	1	43	0	3	0	1	1	0	3	0	2	11	0	15	0	2	15	0	1399	0	0	0	268	0	0	1	0	0	6	0	35	0	0	2568	0	0	3	0	1	0	39	0	3	211	139	0	0	0	0	0	0	0	6	11	1	909	2	0	0	0	1969	34	0	29	5	10	0	2	5	0	0	0	10	59	357	37	0	4	0	1433	706	1	1	0	0	27	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1753	0	0	0	0	1	71	0	7	0	0	0	1	0	627	3	1	0	0	1	0	0	0	0	1	3885	19	0	0	7	0	0	1	0	1079	626	109	265	0	1	0	0	61	0	0	0	3	0	0	0	0	0	0	30	2	0	0	0	1915	0	0	0	0	0	0	1	0	0	0	0	0	203	0	0	0	2	0	0	47	0	0	2522	0	0	1	7	1	0	0	0	0	0	0	54	1131	0	0	1	0	0	0	100	0	41	0	0	0	0	2	0	1	0	0	0	1	0	3	0	0	0	0	33	0	1	3020	1	2	683	2124	0	0	0	0	0	0	0	0	2	100	0	0	0	0	0
"Lactobacillus jensenii"	0	141	338	0	0	46	1	0	0	22	3	14	3	2	27	191	0	46	794	512	0	1240	0	0	0	0	3	0	89	0	0	0	0	0	0	0	27	0	0	0	17	0	1180	0	0	14	0	0	0	11	0	0	0	82	0	0	61	37	1	280	0	0	120	0	0	33	0	34	42	0	258	0	0	480	1	0	121	0	23	295	506	10	1129	34	0	801	1	15	31	0	0	142	1	75	0	0	16	500	2	2	0	1	16	704	0	461	71	0	0	71	69	41	1285	0	56	0	0	0	706	61	1010	47	0	12	18	25	2732	33	4	0	0	68	12	101	25	2	0	0	12	0	0	0	0	0	0	1	1	0	70	9	0	6	0	0	1	1	551	10	0	0	0	0	3488	670	104	1	3	1	0	0	0	0	1681	0	10	0	0	0	0	0	0	24	0	1	1	0	1	0	13	0	26	0	42	455	1577	7	38	116	1	3	67	0	27	67	0	1	38	0	0	21	0	0	0	1062	7	4	0	319	22	3	0	0	0	43	411	33	14	25	0	0	122	97	20	0	0	7	0	7	0	0	1	1	0	0	95	2015	106	0	51	0	0	0	0	0	1	0	0	1598	1	0	0	99	3	0	0	0	0	29	1	0	0	0	0	82	2	0	0	136	0	0	777	10	0	4	0	0	40	1301	0	0	9	0	0	0	398	1893	17	53	2144	0	0	660	0	0	603	56	0	0	0	0	0	10	0	0	0	0	0	58	0	154	0	0	17	0	0	38	0	0	0	0	1	0	61	2	22	0	4	39	0	3	2220	0	0	0	0	0	0	975	0	0	217	1	0	1853	27	45	0	18	125	0	3	0	1	0	0	19	22	0	0	0	0	0	0	0	0	0	1	1540	0	0	0	0	0	0	0	0	55	0	0	0	366	0	0	0
"Prevotella"	0	2	1	0	525	8	134	753	0	0	7	220	0	62	0	93	191	0	1	0	8	143	155	0	772	2	0	8	0	581	332	0	0	0	497	133	3	39	162	2	1	198	3	106	89	0	83	659	81	0	1005	5	401	0	0	0	1	0	5	0	0	353	0	544	0	1	0	81	8	207	0	192	190	0	0	99	0	0	0	0	0	0	0	0	288	5	3	6	2	1115	1	3	2	1	0	1	0	2	102	1	24	379	0	1	446	1	1	0	688	58	2	2	1	636	1	40	0	0	0	1	2	1	246	2	2	5	5	1	2	383	1	3	9	522	74	0	146	1388	5	599	450	128	1484	513	437	1	210	2	129	8	41	442	0	2	21	1	0	48	1447	327	62	49	0	8	0	0	1	0	1	0	1	311	0	796	757	109	896	2006	370	0	6	1	38	0	703	216	20	1386	0	0	0	285	1	1	7	1	0	0	7	1	0	112	0	0	3	318	2	20	674	12	0	8	1	5	501	12	131	10	9	30	0	0	2	40	18	6	3	27	587	134	3	1	2	1	0	2	0	0	431	12	3	77	603	148	0	89	7	188	2	194	7	6	657	15	371	1	4	48	352	0	326	0	597	3	0	0	1	0	836	738	1114	0	878	0	0	0	3	0	638	164	0	0	0	1	0	147	3	0	0	433	0	663	0	1	0	0	0	0	15	0	147	3	0	0	13	0	171	321	8	864	506	9	1139	476	80	488	5	0	0	0	362	688	1	0	23	30	209	49	137	698	443	17	0	0	1	0	53	0	29	0	0	0	72	4	4	0	617	0	0	57	1	267	0	1	0	1	0	0	0	2	0	43	0	119	0	6	0	500	887	29	3	1	3	0	119	0	3	2	1	1026	625	485	526	118	0	0	247	279	12	143	18	0	0	16
"Megasphaera"	0	1	0	0	403	0	3	102	0	0	0	194	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	372	761	0	0	0	0	0	0	304	151	0	0	0	0	382	229	0	386	230	352	0	293	0	424	0	0	0	0	0	0	0	0	159	0	311	0	0	0	0	0	303	0	540	517	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	1	234	0	0	0	0	0	1	0	0	0	0	0	583	0	2	531	0	0	0	620	0	0	0	1	522	0	1	2	0	0	3	0	0	386	1	2	0	0	0	1	566	0	0	3	9	0	0	213	166	3	236	516	0	393	136	0	0	157	0	0	2	1205	415	0	1	0	2	2	0	1	86	0	0	0	0	0	0	0	0	0	0	2	45	0	79	1400	0	89	251	0	1	1	0	0	0	317	247	0	1008	0	0	2	173	0	4	0	0	0	5	473	0	0	497	4	0	0	0	0	662	288	0	0	0	0	5	626	0	229	0	35	0	0	0	2	20	5	5	3	136	115	0	1	1	4	1	0	0	0	0	212	4	0	49	438	281	0	2	0	95	0	677	0	0	143	2	118	0	3	0	212	0	107	0	0	0	0	0	0	0	340	107	372	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	368	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	1	404	0	3	152	654	298	437	0	0	0	0	281	0	0	0	1	100	251	36	54	137	154	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	111	0	0	0	0	1	1	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	0	0	0	0	0	0	2	2	0	0	1	0	0
"Sneathia"	0	0	0	0	302	0	34	272	0	0	0	44	0	0	0	9	2	0	1	0	0	0	1411	0	11	0	0	0	0	391	151	0	0	0	0	0	0	22	421	0	0	0	0	458	301	0	69	70	1	0	155	0	102	0	0	0	0	1	0	0	0	346	0	147	0	0	0	6	0	28	0	33	44	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	1	103	0	1	0	0	0	0	0	0	0	0	0	34	0	0	96	0	0	0	9	0	0	0	0	120	0	3	0	0	0	0	0	0	100	0	0	0	0	0	874	210	1	0	1	1	1	0	53	490	4	316	102	0	614	538	0	0	1210	2	0	2	0	1	0	0	18	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1086	0	870	239	0	185	1022	0	3	1	0	0	0	634	397	1	1551	0	0	0	552	0	6	0	0	0	0	1	0	0	1109	0	0	0	0	0	0	136	0	0	0	0	1	17	1	0	0	1	0	0	0	0	1	0	1	0	3	537	0	1	0	0	0	0	0	0	0	28	0	0	1	0	31	0	0	0	0	0	24	0	3	134	1	1094	0	1	6	431	1	380	0	21	0	0	0	0	0	375	103	605	0	0	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	79	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	29	0	0	642	29	0	29	0	0	0	0	422	0	2	0	0	0	2	33	74	153	935	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Atopobium"	0	1	0	0	83	0	11	54	0	0	0	32	0	0	0	0	0	0	0	0	0	0	41	0	311	0	0	0	0	188	93	0	0	0	0	0	0	484	88	1	2	0	0	247	160	0	0	267	148	0	144	0	55	0	0	0	0	0	0	0	1	285	0	538	0	0	1	176	0	36	0	73	361	0	0	8	0	0	0	0	0	0	0	0	17	0	0	9	0	85	0	0	598	0	0	4	0	1	117	0	1	80	0	55	361	0	0	0	444	0	3	0	0	164	0	1	0	0	0	0	0	0	31	2	1	0	15	0	0	101	0	0	0	511	0	0	201	197	1	248	328	1	275	207	3	3	266	0	2	0	412	461	0	0	10	2	2	1	32	93	0	0	0	0	0	0	0	2	18	0	0	157	0	51	1214	0	171	409	0	0	0	0	0	113	174	738	3	1236	0	0	0	25	3	0	0	0	0	0	27	0	0	224	0	0	0	0	0	57	12	5	14	0	0	1	43	0	0	0	11	0	0	0	0	15	2	3	3	71	3	0	113	0	0	0	0	0	0	4	171	1	0	3	235	47	0	1	0	165	1	227	2	1	112	0	94	1	0	0	55	1	156	0	49	0	0	0	1	0	272	597	88	0	108	0	0	0	0	0	152	0	0	0	0	0	0	2	1	0	0	8	0	200	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	59	0	45	0	0	434	131	383	196	0	0	1	0	343	36	0	0	1	19	27	81	99	75	13	39	0	0	0	1	1	0	0	1	1	0	30	1474	0	0	29	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	148	0	0	0	0
"Streptococcus"	0	0	2	0	0	0	138	4	0	1	3	0	0	3	0	38	0	1	0	0	1	217	7	0	0	0	0	37	0	0	0	0	0	0	1332	0	0	0	0	0	2	45	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1426	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	6	0	0	0	0	0	0	0	6	2	0	0	2	0	0	0	0	0	0	225	1	0	4	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	398	109	91	0	0	13	0	0	4	6	0	8	0	2	0	5	40	0	1	0	0	11	0	0	19	323	14	58	0	0	1	0	0	1	0	0	0	3	0	47	23	4	1329	0	0	100	1	0	1	0	2	6	30	7	0	3	0	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	7	35	1	0	0	1	0	23	0	0	0	0	0	70	0	1	5	7	5	0	4	0	2	7	0	1	2	0	0	29	0	0	0	0	0	0	0	0	232	0	0	0	0	2	539	0	0	0	0	215	2	1077	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	121	2	0	483	0	0	0	929	0	29	1	98	0	0	1	0	0	1	0	6	0	0	0	1	306	3	0	4	1	0	0	1	0	1	0	7	0	0	0	218	0	6	0	0	0	5	4	371	0	0	320	0	921	0	2	1	45	2	0	0	0	5	405	0	0	0	0	0	0	0	126	4	602	0	0	2	0	29	1	4	0	3	182	399	54	109	393	0	1	0	98	0	0	0	1358	1	18
"Dialister"	0	2	0	0	151	3	2	191	0	0	3	18	0	4	0	14	42	0	0	0	9	0	38	0	245	0	0	0	0	140	104	0	0	0	0	0	0	15	114	0	0	18	0	33	24	0	9	142	103	0	56	5	130	0	0	0	0	0	1	0	1	76	5	172	0	0	0	6	3	72	0	47	70	0	0	62	0	0	0	0	0	0	5	0	224	4	0	3	0	167	1	1	1	0	0	34	0	0	38	0	15	53	1	8	59	0	0	0	342	0	0	1	1	196	0	3	1	0	0	1	0	0	36	0	0	0	1	0	0	127	0	0	6	263	46	0	75	165	2	127	65	43	127	26	253	4	57	0	18	4	31	43	0	1	1	0	0	14	138	563	28	5	0	4	0	0	0	0	0	0	0	100	0	278	478	63	122	103	129	0	0	0	8	0	121	14	3	99	1	0	0	239	0	0	2	0	0	0	20	0	2	14	0	0	0	45	0	24	58	0	0	5	0	3	44	6	59	0	6	11	0	0	1	5	4	0	0	18	33	34	0	0	0	1	0	0	0	0	58	2	0	28	89	90	0	29	2	3	0	32	2	0	122	10	21	0	0	8	36	0	66	0	14	1	1	0	1	0	153	413	225	0	155	0	0	0	0	0	138	109	0	0	0	0	0	4	0	0	0	25	0	67	1	0	0	0	0	0	4	0	76	2	0	0	4	0	6	185	8	140	2	4	79	58	92	45	3	0	2	0	52	180	0	0	2	4	21	32	23	71	322	3	0	0	0	0	22	0	3	0	0	0	16	174	0	0	23	0	3	11	4	25	0	0	0	3	0	0	0	0	0	19	0	2	0	6	0	38	11	4	0	0	1	0	18	0	1	0	0	329	47	50	7	3	0	0	185	201	0	7	0	0	0	0
