"kingdom"	"class"	"order"	"family"	"genus"
"Lactobacillus iners"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Gardnerella vaginalis"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"
"Lactobacillus crispatus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Atopobium vaginae"	"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"
"Lactobacillus jensenii"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Megasphaera sp. type 1"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"
"BVAB2"	NA	NA	NA	NA	NA
"Bifidobacterium bifidum"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"Aerococcus christensenii"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"
"Bifidobacteriaceae"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	NA
"Lactobacillus gasseri"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Streptococcus agalactiae"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Parvimonas micra"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Parvimonas"
"Megasphaera sp. type 2"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"
"Peptoniphilus"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"
"Prevotella genogroup 2"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Streptococcus anginosus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Enterococcus faecalis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"BVAB3"	NA	NA	NA	NA	NA
"Actinomycetales"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	NA	NA
"Finegoldia magna"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Finegoldia"
"Clostridiales"	"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA
"BVAB1"	NA	NA	NA	NA	NA
"Streptococcus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"candidate division TM7"	NA	NA	NA	NA	NA
"Staphylococcus lugdunensis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Prevotella genogroup 1"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Staphylococcus"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Dialister sp. type 2"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"
"Leptotrichia amnionii"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"
"Prevotella"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Anaerococcus"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"
"Actinobacteria .class."	"Bacteria"	NA	NA	NA	NA
"Gemella"	"Bacteria"	"Bacilli"	"Bacillales"	NA	"Gemella"
"Anaerococcus tetradius"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"
"Peptoniphilus lacrimalis"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"
"Prevotella bivia"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Veillonellaceae"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	NA
"Mobiluncus"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"
"Bacteria"	"Bacteria"	NA	NA	NA	NA
"Eggerthella"	"Bacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"
"Veillonella montpellierensis"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"
"Sneathia sanguinegens"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"
"Bacillales"	"Bacteria"	"Bacilli"	"Bacillales"	NA	NA
"Prevotella genogroup 3"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Peptostreptococcus"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Peptostreptococcus"
"Clostridiales Family XI. Incertae Sedis"	"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA
"Staphylococcus aureus"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Firmicutes"	"Bacteria"	NA	NA	NA	NA
"Megasphaera"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"
"Peptoniphilus asaccharolyticus"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"
"Mobiluncus curtisii"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"
"Gammaproteobacteria"	"Bacteria"	"Gammaproteobacteria"	NA	NA	NA
"Veillonella"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"
"Lactobacillus vaginalis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Prevotella buccalis"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Bacteroides"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Lactobacillales"	"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA
"Streptococcus salivarius"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Bifidobacterium"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"Dialister sp. type 3"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"
"Aerococcus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"
"Atopobium"	"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"
"Lactobacillus OTU1"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Dialister"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"
"Porphyromonas"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"
"Roseburia"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Roseburia"
"Corynebacterium accolens"	"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
"Enterobacteriaceae"	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA
"Lactobacillus OTU2"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Lactobacillus coleohominis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Staphylococcus haemolyticus"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Escherichia coli"	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"
"Lachnospiraceae"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA
"Prevotella melaninogenica"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Staphylococcus hominis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Anaerococcus vaginalis"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"
"Mycoplasma hominis"	"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"
"Bacteroides coagulans"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Bacilli"	"Bacteria"	"Bacilli"	NA	NA	NA
"Peptoniphilus harei"	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"
"Prevotella disiens"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Proteobacteria"	"Bacteria"	NA	NA	NA	NA
"Bacteroidales"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	NA	NA
"Streptococcus oralis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Streptococcus mitis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Streptococcus parasanguinis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Actinomyces"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
"Prevotella genogroup 4"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Ureaplasma"	"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Ureaplasma"
"Veillonella parvula"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"
"Eubacterium"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Eubacteriaceae"	"Eubacterium"
"Bifidobacterium breve"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"Fusobacterium gonidiaformans"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Actinomyces neuii"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
"Actinomycetaceae"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	NA
"Enterococcus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"Porphyromonas bennonis"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"
"Raoultella planticola"	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Raoultella"
"Coriobacteriaceae"	"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	NA
"Lactobacillus OTU4"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Porphyromonas asaccharolytica"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"
"Eubacterium rectale"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Eubacteriaceae"	"Eubacterium"
"Fusobacterium"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Clostridium colicanis"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Clostridiaceae"	"Clostridium"
"Dialister propionicifaciens"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"
"Arcanobacterium"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Arcanobacterium"
"Veillonella atypica"	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"
"Sutterella"	"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"
"Porphyromonas sp. type 1"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"
"Staphylococcus capitis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Campylobacter ureolyticus"	"Bacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"
"Varibaculum cambriense"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Varibaculum"
"Actinobacteridae"	"Bacteria"	"Actinomycetia"	NA	NA	NA
"Prevotella genogroup 7"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"Sneathia"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"
"Fusobacterium nucleatum"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Lactobacillus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Bifidobacterium longum"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"Lactobacillus OTU3"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Lactobacillus delbrueckii"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Mobiluncus mulieris"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"
"Streptococcus anginosus group"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Lactobacillus OTU5"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Atopobium minutum"	"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"
"Mycoplasma"	"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"
"Fusobacteriaceae"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	NA
"Ureaplasma urealyticum"	"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Ureaplasma"
"Staphylococcus epidermidis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Porphyromonas uenonis"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"
"Lactobacillus fermentum"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Lactobacillus OTU8"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
