Taxon_name	Attribute
Cellvibrio	aerobic
Methylophilus	aerobic
Pelobacter	anaerobic
Phenylobacterium	aerobic
Shewanella 	facultatively anaerobic
Vitreoscilla 	aerobic
Lysobacter	aerobic
Simonsiella	aerobic
Hyphomonas	aerobic
Stella	aerobic
Gallionella	anaerobic
Flectobacillus	aerobic
Runella	aerobic
Spirosoma	aerobic
Gemmata	aerobic
Methylocystis	aerobic
Spirochaeta 	facultatively anaerobic
Treponema	anaerobic
Leptospira	aerobic
Aquaspirillum 	aerobic
Alteromonas	aerobic
Brucella	aerobic
Francisella	aerobic
Paracoccus 	aerobic
Thermus 	aerobic
Xanthobacter	anaerobic
Comamonas	aerobic
Pseudomonas 	aerobic
Serpens	aerobic
Zoogloea	aerobic
Azotobacter 	aerobic
Agrobacterium 	aerobic
Agromonas 	aerobic
Bradyrhizobium	aerobic
Allorhizobium	aerobic
Rhizobium	aerobic
Methylobacillus	aerobic
Methylobacterium	aerobic
Methylococcus	aerobic
Methylomonas	aerobic
Methylosinus	aerobic
Methylobacter	aerobic
Legionella	aerobic
Acinetobacter	aerobic
Moraxella 	aerobic
Neisseria	aerobic
Psychrobacter	aerobic
Bordetella	aerobic
Acidiphilium	aerobic
Beijerinckia 	aerobic
Eikenella 	facultatively anaerobic
Zymomonas 	facultatively anaerobic
Citrobacter	facultatively anaerobic
Enterobacter	facultatively anaerobic
Erwinia 	facultatively anaerobic
Escherichia 	aerobic
Escherichia 	facultatively anaerobic
Hafnia	facultatively anaerobic
Klebsiella	facultatively anaerobic
Kluyvera	facultatively anaerobic
Morganella	facultatively anaerobic
Proteus	facultatively anaerobic
Providencia	facultatively anaerobic
Salmonella	facultatively anaerobic
Serratia 	facultatively anaerobic
Shigella	facultatively anaerobic
Xenorhabdus	facultatively anaerobic
Yersinia	facultatively anaerobic
Edwardsiella	facultatively anaerobic
Aeromonas	facultatively anaerobic
Photobacterium	anaerobic
Plesiomonas	facultatively anaerobic
Actinobacillus 	facultatively anaerobic
Haemophilus 	aerobic
Haemophilus 	facultatively anaerobic
Pasteurella 	aerobic
Pasteurella 	facultatively anaerobic
Bacteroides	anaerobic
Butyrivibrio	anaerobic
Prevotella	anaerobic
Xylanibacter	anaerobic
Roseburia	anaerobic
Oxalobacter	anaerobic
Syntrophomonas	anaerobic
Syntrophospora	anaerobic
Dichelobacter	anaerobic
Desulfuromonas	anaerobic
Desulfobulbus	anaerobic
Desulfococcus	anaerobic
Desulfomicrobium	anaerobic
Acidaminococcus	anaerobic
Megasphaera	anaerobic
Nitrobacter 	aerobic
Thiobacillus	anaerobic
Thiomicrospira	aerobic
Hydrogenobacter	aerobic
Bdellovibrio	aerobic
Oceanospirillum	aerobic
Selenomonas	anaerobic
Sporohalobacter	anaerobic
Cytophaga	aerobic
Flexibacter 	aerobic
Flexibacter 	facultatively anaerobic
Saprospira	aerobic
Sporocytophaga	aerobic
Weeksella	aerobic
Capnocytophaga 	facultatively anaerobic
Beggiatoa 	aerobic
Microscilla	aerobic
Rhodobacter	aerobic
Chloroflexus	anaerobic
Porphyrobacter	aerobic
Nitrospira	aerobic
Piscirickettsia	aerobic
Ruminococcus	anaerobic
Micrococcus	aerobic
Deinococcus	aerobic
Streptococcus	facultatively anaerobic
Enterococcus	facultatively anaerobic
Lactococcus	facultatively anaerobic
Marinococcus	aerobic
Planococcus	aerobic
Aerococcus	facultatively anaerobic
Gemella	facultatively anaerobic
Atopobium	facultatively anaerobic
Bacillus	anaerobic
Desulfotomaculum	anaerobic
Clavibacter	aerobic
Paralactobacillus 	aerobic
Paralactobacillus 	facultatively anaerobic
Listeria 	facultatively anaerobic
Erysipelothrix	facultatively anaerobic
Alloiococcus	aerobic
Bifidobacterium 	anaerobic
Brevibacterium	aerobic
Cellulomonas 	aerobic
Corynebacterium 	aerobic
Thermodesulfobacterium	anaerobic
Propionibacterium 	anaerobic
Mycobacterium	aerobic
Amycolatopsis 	facultatively anaerobic
Nocardia	aerobic
Rhodococcus	aerobic
Saccharopolyspora	aerobic
Nocardioides	aerobic
Pseudonocardia	aerobic
Actinopolyspora	aerobic
Saccharomonospora	aerobic
Frankia 	aerobic
Dermatophilus 	facultatively anaerobic
Micromonospora	aerobic
Streptomyces	aerobic
Actinomadura	aerobic
Microtetraspora	aerobic
Planomonospora	aerobic
Streptosporangium	aerobic
Microbispora	aerobic
Nocardiopsis	aerobic
Streptoalloteichus	aerobic
Thermomonospora	aerobic
Thermoactinomyces	aerobic
Kibdelosporangium	aerobic
Curtobacterium	aerobic
Tropheryma 	aerobic
Aeromicrobium	aerobic
Mobiluncus	anaerobic
Gordonia	aerobic
Tsukamurella	aerobic
Saccharothrix	aerobic
Sporolactobacillus	facultatively anaerobic
Mycoplasma 	aerobic
Mycoplasma 	facultatively anaerobic
Spiroplasma	facultatively anaerobic
Acholeplasma	facultatively anaerobic
Methanobacterium	anaerobic
Methanothermus	anaerobic
Methanocorpusculum	anaerobic
Methanogenium	anaerobic
Methanospirillum	anaerobic
Methanomicrobium	anaerobic
Methanosarcina	anaerobic
Methanolobus	anaerobic
Methanococcoides	anaerobic
Archaeoglobus	anaerobic
Haloarcula 	facultatively anaerobic
Halobacterium	facultatively anaerobic
Halococcus	aerobic
Haloferax 	aerobic
Natronobacterium	aerobic
Pyrococcus	anaerobic
Thermococcus	anaerobic
Pyrobaculum 	anaerobic
Pyrobaculum 	facultatively anaerobic
Staphylothermus	anaerobic
Desulfobacter	anaerobic
Desulfobacterium	anaerobic
Desulfosarcina	anaerobic
Thermoplasma 	facultatively anaerobic
Pyrodictium	anaerobic
Methanoplanus	anaerobic
Methanosphaera	anaerobic
Methanohalobium	anaerobic
Halanaerobium	anaerobic
Propionigenium	anaerobic
Haliscomenobacter	aerobic
Flexistipes	anaerobic
Desulfomonile	anaerobic
Xylella	aerobic
Acetonema	anaerobic
Sporomusa	anaerobic
Gardnerella	facultatively anaerobic
Aquifex	facultatively anaerobic
Cardiobacterium 	facultatively anaerobic
Hirschia	aerobic
Symbiobacterium	facultatively anaerobic
Verrucomicrobium 	facultatively anaerobic
Vagococcus	facultatively anaerobic
Peptococcus	anaerobic
Marinobacter 	aerobic
Halomonas	anaerobic
Carnobacterium	facultatively anaerobic
