Taxon_name	Attribute
Abiotrophia	gram stain positive
Acanthopleuribacter	gram stain negative
Acaricomes	gram stain positive
Acetanaerobacterium	gram stain positive
Acetatifactor	gram stain positive
Acetivibrio	gram stain negative
Acetoanaerobium	gram stain negative
Acetobacter	gram stain negative
Acetobacterium	gram stain positive
Acetofilamentum	gram stain negative
Acetohalobium	gram stain negative
Acetomicrobium	gram stain negative
Acetonema	gram stain negative
Acetothermus	gram stain negative
Achromatium	gram stain negative
Achromobacter	gram stain negative
Acidaminobacter	gram stain negative
Acidaminococcus	gram stain negative
Acidianus	gram stain negative
Acidicapsa	gram stain negative
Acidiphilium	gram stain negative
Acidipila	gram stain negative
Acidisphaera	gram stain negative
Acidithiobacillus	gram stain negative
Acidobacterium	gram stain negative
Acidocella	gram stain negative
Acidomonas	gram stain negative
Acidovorax	gram stain negative
Acinetobacter	gram stain negative
Acrocarpospora	gram stain positive
Actinoalloteichus	gram stain positive
Actinobacillus	gram stain negative
Actinobaculum	gram stain positive
Actinocatenispora	gram stain positive
Actinocorallia	gram stain positive
Actinokineospora	gram stain positive
Actinomadura	gram stain positive
Actinomyces	gram stain positive
Actinomycetospora	gram stain positive
Actinoplanes	gram stain positive
Actinopolymorpha	gram stain positive
Actinopolyspora	gram stain positive
Actinosynnema	gram stain positive
Actinotalea	gram stain positive
Acutalibacter	gram stain negative
Adhaeribacter	gram stain negative
Aequorivita	gram stain negative
Aeriscardovia	gram stain positive
Aerococcus	gram stain positive
Aeromicrobium	gram stain positive
Aeromonas	gram stain negative
Aeropyrum	gram stain negative
Aestuariimicrobium	gram stain positive
Afipia	gram stain negative
Agreia	gram stain positive
Agrobacterium	gram stain negative
Agrococcus	gram stain positive
Agromonas	gram stain negative
Agromyces	gram stain positive
Ahrensia	gram stain negative
Aidingimonas	gram stain negative
Akkermansia	gram stain negative
Albibacter	gram stain negative
Albidovulum	gram stain negative
Alcaligenes	gram stain negative
Alcanivorax	gram stain negative
Alicyclobacillus	gram stain positive
Alishewanella	gram stain negative
Alistipes	gram stain negative
Alkalibacillus	gram stain positive
Alkalibacter	gram stain positive
Alkalibacterium	gram stain positive
Alkalicoccus	gram stain positive
Alkaliflexus	gram stain negative
Alkaliphilus	gram stain positive
Allisonella	gram stain negative
Allobaculum	gram stain positive
Allochromatium	gram stain negative
Allofustis	gram stain positive
Alloiococcus	gram stain positive
Allorhizobium	gram stain negative
Alloscardovia	gram stain positive
Alterococcus	gram stain negative
Alteromonas	gram stain negative
Alysiella	gram stain negative
Amaricoccus	gram stain negative
Aminobacter	gram stain negative
Aminobacterium	gram stain negative
Aminomonas	gram stain negative
Ammonifex	gram stain negative
Ammoniphilus	gram stain positive
Amnibacterium	gram stain positive
Amphibacillus	gram stain positive
Amycolatopsis	gram stain positive
Anaeroarcus	gram stain negative
