Parent_name	ph_category
Acaricomes	neutrophile
Acetohalobium	neutrophile
Acetomicrobium	neutrophile
Acetonema	neutrophile
Acidaminococcus	neutrophile
Acidimicrobium	acidophile
Acidithiobacillus	acidophile
Acidobacterium	acidophile
Acidothermus	acidophile
Acidovorax	neutrophile
Acinetobacter	neutrophile
Actinoalloteichus	neutrophile
Actinomadura	neutrophile
Actinopolymorpha	neutrophile
Adlercreutzia	neutrophile
Advenella	alkaliphile
Aeromicrobium	neutrophile
Aeromonas	neutrophile
Aestuariimicrobium	neutrophile
Afipia	neutrophile
Agromyces	neutrophile
Ahrensia	neutrophile
Alcanivorax	neutrophile
Algicola	neutrophile
Algoriphagus	acidophile
Alicyclobacillus	acidophile
Aliiglaciecola	neutrophile
Alishewanella	neutrophile
Alistipes	neutrophile
Alkalihalobacillus	alkaliphile
Alkalilimnicola	neutrophile
Alkaliphilus	alkaliphile
Alkalispirochaeta	alkaliphile
Allochromatium	neutrophile
Alloprevotella	neutrophile
Alphaproteobacteria	neutrophile
Alteromonas	neutrophile
Aminobacterium	neutrophile
Ammonifex	neutrophile
Amphibacillus	alkaliphile
Amphritea	neutrophile
Amycolatopsis	neutrophile
Anaerococcus	neutrophile
Anaerolinea	neutrophile
Anaeromyxobacter	neutrophile
Anaerostipes	acidophile
Anaerotruncus	alkaliphile
Aneurinibacillus	neutrophile
Aquifex	neutrophile
Aquimarina	neutrophile
Arcticibacter	neutrophile
Arenimonas	neutrophile
Arhodomonas	neutrophile
Arthrospira	alkaliphile
Asticcacaulis	neutrophile
Atlantibacter	neutrophile
Aurantimonas	neutrophile
Bacillus	neutrophile
Bacteroides	neutrophile
Balneola	neutrophile
Bartonella	neutrophile
Bavariicoccus	acidophile
Bhargavaea	neutrophile
Bifidobacterium	neutrophile
Blautia	neutrophile
Bordetella	neutrophile
Brachybacterium	neutrophile
Brachyspira	neutrophile
Bradyrhizobium	neutrophile
Brevibacillus	neutrophile
Brevibacterium	neutrophile
Brevundimonas	neutrophile
Brucella	neutrophile
Burkholderia	neutrophile
Butyricicoccus	neutrophile
Caldalkalibacillus	alkaliphile
Caldanaerobacter	neutrophile
Caldicellulosiruptor	neutrophile
Caldilinea	neutrophile
Caldisericum	neutrophile
Calditerrivibrio	neutrophile
Caldithrix	neutrophile
Calidithermus	neutrophile
Caloramator	neutrophile
Caminibacter	acidophile
Campylobacter	neutrophile
Candidatus Amoebophilus	neutrophile
Candidatus Desulforudis	alkaliphile
Candidatus Korarchaeum	neutrophile
Candidatus Koribacter	acidophile
Candidatus Methylomirabilis	neutrophile
Candidatus Solibacter	acidophile
Capnocytophaga	neutrophile
Carboxydothermus	neutrophile
Carnobacterium	neutrophile
Catelliglobosispora	neutrophile
Catenovulum	alkaliphile
Catenulispora	neutrophile
Catonella	acidophile
Caulobacter	neutrophile
Celeribacter	neutrophile
Cellulomonas	neutrophile
Cellulophaga	neutrophile
Cellulosilyticum	neutrophile
Centipeda	neutrophile
Cesiribacter	neutrophile
Chitinophaga	neutrophile
Chloracidobacterium	neutrophile
Chlorobaculum	acidophile
Chlorobium	neutrophile
Chroococcidiopsis	neutrophile
Chryseobacterium	neutrophile
Chthoniobacter	acidophile
Chthonomonas	acidophile
Clostridium	neutrophile
Cohnella	neutrophile
Collinsella	neutrophile
Conexibacter	neutrophile
Coprococcus	acidophile
Coprothermobacter	neutrophile
Coraliomargarita	neutrophile
Corynebacterium	neutrophile
Cupriavidus	alkaliphile
Cyclobacterium	neutrophile
Cycloclasticus	acidophile
Cytophaga	neutrophile
Deferribacter	neutrophile
Dehalogenimonas	neutrophile
Deinococcus	neutrophile
Denitrovibrio	neutrophile
Desulfatibacillum	neutrophile
Desulfitobacterium	neutrophile
Desulfobacca	neutrophile
Desulfobacter	neutrophile
Desulfobacterium	neutrophile
Desulfobacula	neutrophile
Desulfobulbus	neutrophile
Desulfocapsa	neutrophile
Desulfococcus	neutrophile
Desulfofarcimen	neutrophile
Desulfofundulus	neutrophile
Desulfohalobium	neutrophile
Desulfohalovibrio	alkaliphile
Desulfomonile	neutrophile
Desulfospira	neutrophile
Desulfosporosinus	neutrophile
Desulfotalea	neutrophile
Desulfotignum	neutrophile
Desulfotomaculum	alkaliphile
Desulfovibrio	neutrophile
Desulfurispora	alkaliphile
Desulfurivibrio	alkaliphile
Desulfurobacterium	neutrophile
Desulfuromonas	neutrophile
Dethiosulfovibrio	neutrophile
Dickeya	neutrophile
Dietzia	neutrophile
Dinoroseobacter	neutrophile
Dokdonia	neutrophile
Duganella	neutrophile
Dyadobacter	neutrophile
Dyella	neutrophile
Edwardsiella	acidophile
Effusibacillus	acidophile
Elusimicrobium	neutrophile
Endozoicomonas	neutrophile
Enhydrobacter	neutrophile
Enterobacter	neutrophile
Enterocloster	acidophile
Enterococcus	alkaliphile
Epibacterium	neutrophile
Erysipelothrix	neutrophile
Escherichia	neutrophile
Ethanoligenens	acidophile
Eubacteriales	alkaliphile
Eudoraea	neutrophile
Evansella	alkaliphile
Faecalibacterium	neutrophile
Faecalitalea	neutrophile
Ferrimonas	neutrophile
Fervidobacterium	neutrophile
Fibrella	neutrophile
Flavobacterium	neutrophile
Flexithrix	neutrophile
Fodinicurvata	neutrophile
Francisella	neutrophile
Fructilactobacillus	neutrophile
Fusobacterium	neutrophile
Gardnerella	alkaliphile
Gayadomonas	neutrophile
Geobacillus	neutrophile
Geobacter	neutrophile
Geopsychrobacter	neutrophile
Glaciecola	neutrophile
Gluconobacter	neutrophile
Gordonia	neutrophile
Gottschalkia	neutrophile
Gracilimonas	neutrophile
Granulicella	acidophile
Gryllotalpicola	neutrophile
Haemophilus	neutrophile
Halalkalicoccus	neutrophile
Halarchaeum	acidophile
Haliscomenobacter	neutrophile
Haloarcula	neutrophile
Halobiforma	neutrophile
Halococcus	neutrophile
Haloechinothrix	neutrophile
Haloferax	neutrophile
Halogeometricum	neutrophile
Halomicrobium	neutrophile
Halomonas	neutrophile
Halopiger	neutrophile
Haloplasma	neutrophile
Haloquadratum	neutrophile
Halorhabdus	neutrophile
Halorhodospira	alkaliphile
Halorubrum	neutrophile
Halosimplex	neutrophile
Haloterrigena	neutrophile
Halovivax	neutrophile
Helicobacter	neutrophile
Hippea	acidophile
Hirschia	alkaliphile
Hoeflea	neutrophile
Holophaga	neutrophile
Hoyosella	neutrophile
Humibacter	neutrophile
Hungatella	neutrophile
Hydrogenobacter	neutrophile
Hydrogenovibrio	neutrophile
Hyphomicrobium	neutrophile
Idiomarina	neutrophile
Ignavibacterium	neutrophile
Ilumatobacter	neutrophile
Imtechella	neutrophile
Indibacter	alkaliphile
Janibacter	alkaliphile
Janthinobacterium	neutrophile
Jonquetella	neutrophile
